State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9613532234147507	0.034564878660745126	8.289616049522264E-4	0.0	0.0	0.0	5.419217683784312E-4	0.0	0.002711014551173509	0.0
2	0.004300143235857172	0.9819086162318778	0.005064958725481991	5.813637846153111E-4	0.0	0.0	0.007638805056453286	1.2122329810810117E-4	3.814025307929819E-4	3.487136813418208E-6
3	0.001926982390742166	0.10191764527098009	0.8878353935201754	0.003844568603589818	5.429155899337308E-4	4.7394306356380484E-5	0.002786336151915509	1.7244012472768797E-4	9.114074051351555E-4	1.491663644388828E-5
4	0.0	0.006079978536170288	0.002013688453793029	0.966634656205793	0.013816963402165094	0.002454124748382564	0.008562468777572003	1.2254215718209672E-4	1.2383894548347588E-4	1.9173877345835552E-4
5	6.783096720468292E-6	0.0	7.4012644380678E-4	0.03091528703027627	0.9191630596795315	0.04781166922376754	4.393182430579895E-5	0.0	5.948277858634074E-5	0.0012596599230052085
6	0.0	0.0	1.4700938409294167E-4	0.016082238375832707	0.13599391845126343	0.7732671553143894	0.011935984848278304	0.0037604568684352743	0.0	0.058813236757708026
7	0.0014334116982123869	0.1690436716128216	0.0031954689207413954	0.018310104412571693	7.981778586384715E-5	0.004145150148286246	0.7290267886943173	0.0640308926957466	0.010181359757651408	5.533342737877494E-4
8	0.0	0.00778061344815852	6.79753207727727E-4	0.0011628522064714476	0.0	0.004076137301613177	0.21406809425218543	0.7221518470183579	0.042436210602908156	0.007644491962577664
9	0.029613347987482184	0.03538321147969386	0.0036948683625488746	0.0011101225070988183	1.6001739015048276E-4	0.0	0.04228275046832751	0.04963044250021374	0.7767060484706734	0.0614191908338111
10	0.0	1.7640750403935166E-4	1.477053630124353E-4	0.001550096372180888	0.00565923764012959	0.08347158437091347	0.002625234486169571	0.009898415389521444	0.06077254225801057	0.8356987766160227
